latitude,longitude,smell_value,smell_description,feelings_symptoms,additional_comments,zip_code_id,zipcode,epoch time,date & time,date,sprague_miles,portland_pipeline_miles,south_portland_terminal_miles,gulf_oil_miles
43.6363,-70.2904,4,Petroleum ,,,1018,04106,1583857321,Tue Mar 10 12:22:01 2020,03/10/20,0.20989367824836466,1.066045248789143,0.2570785301635682,2.716092794200114
43.6343,-70.2466,4,Burnt tar,Nausea ,,1018,04106,1583902254,Wed Mar 11 00:50:54 2020,03/11/20,2.0025015642446395,1.2798554883143525,1.9400938457843178,1.1558070162226408
43.6325,-70.2446,4,"Industrial, burning rubber",Headache,,1018,04106,1583902423,Wed Mar 11 00:53:43 2020,03/11/20,2.117718403017643,1.352204577187759,2.050734707609101,1.2515977178264723
43.6244,-70.2911,5,"Petroleum, sulfur",Feel like vomiting ,,1018,04106,1583922454,Wed Mar 11 06:27:34 2020,03/11/20,0.9167453936935299,1.0526834522502033,0.8488891097779718,3.134063253058273
43.6286,-70.292,5,Oil,Headache nausea ,,1018,04106,1583922616,Wed Mar 11 06:30:16 2020,03/11/20,0.6582181135433742,1.038710967468667,0.6081829720361399,3.0169260930147694
43.623,-70.2917,5,Oil ,,,1018,04106,1583922875,Wed Mar 11 06:34:35 2020,03/11/20,1.0180549447581841,1.1164013390556005,0.9501682762060519,3.2145884528416455
43.6237,-70.2901,5,Oil ,Headache. Getting worse ,,1018,04106,1583923167,Wed Mar 11 06:39:27 2020,03/11/20,0.9526342384849006,1.023644539543499,0.8795254703968856,3.1213138944077308
43.6292,-70.2914,5,Oil ,Headache ,,1018,04106,1584017173,Thu Mar 12 08:46:13 2020,03/12/20,0.6079505477182919,1.0070137730068518,0.5569998151878336,2.9703236734845433
43.6416,-70.2944,5,Gas,,,1018,04106,1584059240,Thu Mar 12 20:27:20 2020,03/12/20,0.5025540006283816,1.427866591743079,0.6014618830757307,2.8037120149471946
43.6357,-70.2695,3,Petroleum tank fumes. Rotten eggs,,,1018,04106,1584199915,Sat Mar 14 11:31:55 2020,03/14/20,0.8524151015965061,0.4381004748535801,0.7905957475078134,1.8002048656413951
43.6355,-70.2829,4,Natural gas smell,,,1018,04106,1584217476,Sat Mar 14 16:24:36 2020,03/14/20,0.2113914870917647,0.7141746171127915,0.12328322630967159,2.391965595517245
43.6254,-70.2938,4,Smells like oil ,,,1018,04106,1584238986,Sat Mar 14 22:23:06 2020,03/14/20,0.8969486808027353,1.1621227619781689,0.8437886462413088,3.2084193464624433
43.6356,-70.285,3,Petroleum smell,,,1018,04106,1584280134,Sun Mar 15 09:48:54 2020,03/15/20,0.1315768524669191,0.8056633041685168,0.027050795743930878,2.4846263921842917
43.6223,-70.2894,4,Oil,Headache,,1018,04106,1584292936,Sun Mar 15 13:22:16 2020,03/15/20,1.0421653117556713,1.0344831279950886,0.9649458545226597,3.1514997891681014
43.6345,-70.2869,3,Petroleum smell,,,1018,04106,1584299669,Sun Mar 15 15:14:29 2020,03/15/20,0.18910739076060046,0.8545793097300447,0.12758845440539548,2.602680375069246
43.6325,-70.2838,3,Oil,,,1018,04106,1584369749,Mon Mar 16 10:42:29 2020,03/16/20,0.35081650637909567,0.6597713179091379,0.24869360503803817,2.526833677856635
43.6247,-70.2927,4,Petroleum ,Headache,,1018,04106,1585217704,Thu Mar 26 06:15:04 2020,03/26/20,0.9209739867952691,1.1221620476092575,0.8607911356496295,3.1886336728548708
43.6353,-70.2829,3,Petroleum smell,,,1018,04106,1585239137,Thu Mar 26 12:12:17 2020,03/26/20,0.2194314616382475,0.7062265626940528,0.12733042208075718,2.3978977413261133
43.6312,-70.3075,5,Petroleum smell,,,1018,04106,1585240481,Thu Mar 26 12:34:41 2020,03/26/20,1.1351333668588783,1.816619990886561,1.1589919997249145,3.6417055160929874
43.6332,-70.2859,5,Petroleum smell,,,1018,04106,1585335161,Fri Mar 27 14:52:41 2020,03/27/20,0.27848835904418023,0.774900042287327,0.1912802353232385,2.5968786677247735
43.6348,-70.2439,4,Burnt tar,"Headache, nausea ",,1018,04106,1585364868,Fri Mar 27 23:07:48 2020,03/27/20,2.134032029651569,1.4193639184916849,2.0734418038960145,1.0887304811773557
43.6318,-70.2834,5,Petroleum,,,1018,04106,1585570528,Mon Mar 30 08:15:28 2020,03/30/20,0.4032080269812386,0.6267942302726953,0.30092261230872214,2.533388050852919
43.6332,-70.284,4,petroleum ,Nasal irritant,,1018,04106,1585681803,Tue Mar 31 15:10:03 2020,03/31/20,0.3022643124146046,0.6858374210511199,0.19956434057728453,2.512505398566024
43.637,-70.2787,5,,,,1018,04106,1585695116,Tue Mar 31 18:51:56 2020,03/31/20,0.38572159383529653,0.6377419661698336,0.3380868885913032,2.1575539569713555
43.634,-70.2829,3,Petroleum smell,,,1018,04106,1585745845,Wed Apr  1 08:57:25 2020,04/01/20,0.28283208859667186,0.6593206954484309,0.17926217031139177,2.4380186139582793
43.6336,-70.2852,3,Petroleum smell,,,1018,04106,1585841087,Thu Apr  2 11:24:47 2020,04/02/20,0.2568186884858267,0.7519026033721984,0.16122300900828626,2.5531085482503917
43.6303,-70.2702,5,Asphalt,,,1018,04106,1585866288,Thu Apr  2 18:24:48 2020,04/02/20,0.9413470315305102,0.0777156708630404,0.8498904169601128,2.058535707417515
43.6283,-70.2872,4,,,,1018,04106,1585939005,Fri Apr  3 14:36:45 2020,04/03/20,0.6175814694258828,0.8008472034995021,0.5363396041948864,2.8219498922544797
43.6347,-70.2759,4,Tar/asphalt,,,1018,04106,1586004199,Sat Apr  4 08:43:19 2020,04/04/20,0.5535502707195249,0.42734727206015505,0.477697219221324,2.1080591386951757
43.6341,-70.2824,4,Petroleum smell,,,1018,04106,1586017388,Sat Apr  4 12:23:08 2020,04/04/20,0.29388375077324874,0.6407695470382455,0.19222877477262912,2.4126238643983795
43.6299,-70.273,4,"Petroleum and tar, this morning also, and it is windy",,,1018,04106,1586209271,Mon Apr  6 17:41:11 2020,04/06/20,0.8400260109444854,0.08996963852549064,0.7433018208718946,2.1823573042243756
43.6293,-70.2739,4,Tar,,,1018,04106,1586209555,Mon Apr  6 17:45:55 2020,04/06/20,0.8312151742164835,0.13139882497148528,0.7317305289427,2.2435585476042403
43.6302,-70.2595,4,,,,1018,04106,1586258621,Tue Apr  7 07:23:41 2020,04/07/20,1.4312705431567727,0.5922396643556703,1.3505492616781094,1.7048674864123818
43.6346,-70.256,3,Smells like burning tires ,,,1018,04106,1586260396,Tue Apr  7 07:53:16 2020,04/07/20,1.5324694400624659,0.8428256191114278,1.4691320434565096,1.3558577925424096
43.631,-70.2732,4,"Tar, asphalt",Throat irritation,,1018,04106,1586260487,Tue Apr  7 07:54:47 2020,04/07/20,0.7881329778803833,0.1410952323480465,0.6946893868098404,2.141925529607549
43.631,-70.2818,3,Oil,,,1018,04106,1586262839,Tue Apr  7 08:33:59 2020,04/07/20,0.48736445658874555,0.5363028600040118,0.3831483166784159,2.49361827908049
43.6335,-70.2772,1,,,,1018,04106,1586433270,Thu Apr  9 07:54:30 2020,04/09/20,0.5272137438117439,0.4050752834977962,0.4384793198698152,2.206702773901478
43.6312,-70.2706,3,Petroleum tar,,,1018,04106,1586547506,Fri Apr 10 15:38:26 2020,04/10/20,0.8935417814281784,0.12255377125731146,0.8048882470974021,2.032558283542187
43.6318,-70.2732,3,,,,1018,04106,1586547552,Fri Apr 10 15:39:12 2020,04/10/20,0.7593908838003953,0.18561114116097682,0.6692631017093723,2.1079835604992367
43.6366,-70.2689,3,Industrial petroleum,,,1018,04106,1586568259,Fri Apr 10 21:24:19 2020,04/10/20,0.8770365824796573,0.505453634671581,0.8217728107782561,1.7408594016195544
43.6353,-70.2711,3,Industrial petroleum tank fumes ,Headache,,1018,04106,1586881945,Tue Apr 14 12:32:25 2020,04/14/20,0.7772112773326628,0.40128365886107975,0.7116785224300269,1.8822144244053272
43.6332,-70.2736,4,Tar,,,1018,04106,1586955261,Wed Apr 15 08:54:21 2020,04/15/20,0.6982184873138766,0.28083554387510107,0.6149149576226525,2.067244183367428
43.6332,-70.2437,4,Burnt tar,nausea ,,1018,04106,1587005633,Wed Apr 15 22:53:53 2020,04/15/20,2.1554715696569193,1.4047461791983753,2.0905530686939953,1.1957499274058694
43.6347,-70.2466,5,Burnt tar,Nausea,,1018,04106,1587013636,Thu Apr 16 01:07:16 2020,04/16/20,1.9999035232308748,1.2873058751580542,1.9386763837069778,1.129445574699197
43.6295,-70.2709,3,"Tar, asphalt, oil",Throat irritation,,1018,04106,1587041054,Thu Apr 16 08:44:14 2020,04/16/20,0.9415344070531795,0.019525222110201693,0.8466173329844705,2.1217013803074205
43.6357,-70.285,3,Petroleum smell,,,1018,04106,1587062399,Thu Apr 16 14:39:59 2020,04/16/20,0.12577683720496943,0.8093065283209632,0.021536731884043578,2.481813782501657
43.6329,-70.2855,4,Petroleum,,,1018,04106,1587242280,Sat Apr 18 16:38:00 2020,04/18/20,0.3014967987397849,0.7492594792687695,0.2098407209445076,2.5886074247864714
43.6342,-70.2847,3,Petroleum,,,1018,04106,1587384253,Mon Apr 20 08:04:13 2020,04/20/20,0.22491521219517102,0.7459070811388101,0.12325079118497187,2.512182301811402
43.6303,-70.2835,5,,,,1018,04106,1587415721,Mon Apr 20 16:48:41 2020,04/20/20,0.4995091388327085,0.6137830232568994,0.39958982103688784,2.591435040579422
43.6328,-70.281,5,Oil,,,1018,04106,1587417656,Mon Apr 20 17:20:56 2020,04/20/20,0.40757464230350715,0.5370336427254676,0.3049446407952172,2.394754159228656
43.6335,-70.2868,3,Petroleum,,,1018,04106,1587421570,Mon Apr 20 18:26:10 2020,04/20/20,0.2573911171014396,0.8242931705144924,0.1842926488947294,2.6278861223046976
43.625,-70.3054,4,Oil,,Did not stay outside long as the smell was awful. It was the same smell that we experienced previously when the oil tanks we're emitting gases.,1018,04106,1587432322,Mon Apr 20 21:25:22 2020,04/20/20,1.272014082509122,1.735897060975161,1.259025036287178,3.7247568122200727
43.6235,-70.3034,4,Oil. ,,,1018,04106,1587432436,Mon Apr 20 21:27:16 2020,04/20/20,1.2742015733385421,1.6603533533922736,1.2494851327413226,3.6875858924398415
43.6252,-70.3027,4,Oil. ,,,1018,04106,1587432530,Mon Apr 20 21:28:50 2020,04/20/20,1.164459417241049,1.600460883925619,1.1447754432832866,3.599240495474106
43.6242,-70.3028,4,Oil,,,1018,04106,1587432637,Mon Apr 20 21:30:37 2020,04/20/20,1.2181426442198273,1.6196344750789777,1.1944569352065912,3.6374007752391804
43.6384,-70.2333,3,Some sort of gas,,,1018,04106,1587444742,Tue Apr 21 00:52:22 2020,04/21/20,2.6593325820799003,1.9989579423472494,2.608123794503154,0.8788174143772842
43.6323,-70.2455,4,Propane,Headache,,1018,04106,1587572317,Wed Apr 22 12:18:37 2020,04/22/20,2.0754343136093913,1.3055780936386252,2.0076757984156353,1.2747155012331708
43.6329,-70.2471,3,Burnt tar,"Headache, sore throat",,1018,04106,1587572399,Wed Apr 22 12:19:59 2020,04/22/20,1.9898117923982026,1.233648873323819,1.9232604553539403,1.2557005711036884
43.636,-70.2877,4,Petroleum,,,1018,04106,1587741692,Fri Apr 24 11:21:32 2020,04/24/20,0.10601580911084764,0.9364909049220546,0.12073962762812164,2.5979970655556444
43.632,-70.2852,5,Oil,,,1018,04106,1587756042,Fri Apr 24 15:20:42 2020,04/24/20,0.3653348685517596,0.7175305121086248,0.2718652140409998,2.6048981205099424
43.6336,-70.2769,5,,,,1018,04106,1587761452,Fri Apr 24 16:50:52 2020,04/24/20,0.5371316906855667,0.3991231156054256,0.44986258837892623,2.190289999647676
43.6342,-70.2754,5,,,,1018,04106,1587761499,Fri Apr 24 16:51:39 2020,04/24/20,0.5886962204330823,0.38473030357769944,0.5093473708570907,2.1045992453428277
43.6326,-70.2821,4,10:00 a.m. very strong oil smell,Irritating to nose and mouth,,1018,04106,1587854982,Sat Apr 25 18:49:42 2020,04/25/20,0.38471914985381744,0.5821125666702415,0.2802724203269156,2.449340805784406
43.6314,-70.285,5,,,,1018,04106,1587910283,Sun Apr 26 10:11:23 2020,04/26/20,0.4079281896702244,0.6988415750364095,0.3136644630186198,2.6165727999930923
43.629,-70.2833,5,,,,1018,04106,1587910709,Sun Apr 26 10:18:29 2020,04/26/20,0.588688424719241,0.6022711172809612,0.4895734416216995,2.6320951921555324
43.6324,-70.2848,4,Tar like smell,Headache,,1018,04106,1587918481,Sun Apr 26 12:28:01 2020,04/26/20,0.3422009369687162,0.7054722080830097,0.24539001108692063,2.5740156822948386
43.6336,-70.2858,3,Petroleum,,,1018,04106,1587931002,Sun Apr 26 15:56:42 2020,04/26/20,0.2514943337366538,0.7798042695340736,0.16316977634291127,2.579951807101276
43.6311,-70.2915,4,,,,1018,04106,1587931461,Sun Apr 26 16:04:21 2020,04/26/20,0.4937452818333675,1.017824768141961,0.4563493976199481,2.9126153162350037
43.6258,-70.302,3,Oil vapors,Headache ,,1018,04106,1587943905,Sun Apr 26 19:31:45 2020,04/26/20,1.1103004473298186,1.558681847462836,1.0912211495445594,3.5485937227705686
43.6306,-70.2734,3,,,,1018,04106,1588071848,Tue Apr 28 07:04:08 2020,04/28/20,0.7953349037617071,0.1301828933497167,0.7001502645747639,2.167018941830975
43.6308,-70.2739,4,"Tar, asphalt",,,1018,04106,1588074838,Tue Apr 28 07:53:58 2020,04/28/20,0.7669066475601651,0.15861600343482984,0.6715872371444167,2.1780052769897362
43.6319,-70.2732,5,"Tar and asphalt, oil tank odor",Throat irritation,,1018,04106,1588074989,Tue Apr 28 07:56:29 2020,04/28/20,0.7560060885004136,0.19157249721988265,0.6663397353931033,2.1038046440307485
43.6199,-70.2682,3,Oil Asphalt,Throat irritated ,,1018,04106,1588077778,Tue Apr 28 08:42:58 2020,04/28/20,1.504580440808989,0.6817925231915556,1.4005100888717585,2.5384334093406986
43.6201,-70.2682,3,"Exhaust, Oil, Asphalt ",,,1018,04106,1588098252,Tue Apr 28 14:24:12 2020,04/28/20,1.4935948553902327,0.668327219934809,1.3895832482739787,2.527007827840501
43.633,-70.2719,5,"Gas, asphalt",,Really bad right now. Can’t be ignored ,1018,04106,1588114052,Tue Apr 28 18:47:32 2020,04/28/20,0.7820987535041524,0.24400447008469048,0.7002747853837248,2.0061195621006425
43.6331,-70.2712,5,Oil tanks,,,1018,04106,1588117683,Tue Apr 28 19:48:03 2020,04/28/20,0.8122786465295446,0.24904339433668257,0.7320071798752507,1.9738897374665434
43.6307,-70.259,4,"Sulfur and rotten eggs, very low wind at the moment",,,1018,04106,1588118762,Tue Apr 28 20:06:02 2020,04/28/20,1.4436827080705945,0.6208598654761129,1.3649220619645879,1.6621758463215448
43.6325,-70.2431,3,Tar smell,,,1018,04106,1588126988,Tue Apr 28 22:23:08 2020,04/28/20,2.191945098351943,1.4264565777930318,2.125339159180901,1.2389827716988286
43.634,-70.2458,5,Burnt tar,"Headache, tight throat, nausea ",,1018,04106,1588128649,Tue Apr 28 22:50:49 2020,04/28/20,2.0445044599056623,1.3135073695113915,1.981370126093105,1.1644311851665923
43.6336,-70.2457,4,Propane,Headache,,1018,04106,1588128737,Tue Apr 28 22:52:17 2020,04/28/20,2.0526691333719627,1.3121193346855409,1.9884223213199195,1.1898633897560678
43.6346,-70.2435,5,Burnt tar,Nausea,,1018,04106,1588134377,Wed Apr 29 00:26:17 2020,04/29/20,2.1551132961252324,1.4352585152358144,2.0940171434635184,1.0986332519539168
43.6321,-70.2727,3,Oil tank,,,1018,04106,1588152489,Wed Apr 29 05:28:09 2020,04/29/20,0.7715436948801111,0.1931931273496831,0.6836752076154264,2.0754992517168476
43.63,-70.2841,4,Petroleum; the usual around here ,Headache,,1018,04106,1588169796,Wed Apr 29 10:16:36 2020,04/29/20,0.5118163537152726,0.6422556019093634,0.41446640563751086,2.62791028349112
43.6321,-70.2845,2,Oil based smell,Nasal irritation,,1018,04106,1588172828,Wed Apr 29 11:07:08 2020,04/29/20,0.3660196820329599,0.6853529250856902,0.26784688611373303,2.570915038785997
43.6173,-70.2749,3,Oil/petroleum fumes ,,,1018,04106,1588178267,Wed Apr 29 12:37:47 2020,04/29/20,1.4926389472656285,0.8629836465937109,1.3896272194641484,2.881222175950922
43.6246,-70.2889,3,,,,1018,04106,1588187335,Wed Apr 29 15:08:55 2020,04/29/20,0.8811350720875537,0.9445700712230468,0.8042368611076944,3.036142238626139
43.6289,-70.2721,3,"Industrial - asphalt, but potentially something else like petroleum ",bothered nose; stinging ,,1018,04106,1588370352,Fri May  1 17:59:12 2020,05/01/20,0.9180728912954471,0.05802406872482818,0.8200348098782232,2.194046454616531
43.629,-70.2842,3,,,,1018,04106,1588371641,Fri May  1 18:20:41 2020,05/01/20,0.5784459408753395,0.6472601960738573,0.4824261032117332,2.6695936683455783
43.6318,-70.2827,5,,,,1018,04106,1588373543,Fri May  1 18:52:23 2020,05/01/20,0.41752848100188106,0.5929639932447783,0.31370929833482614,2.5031762415064405
43.6313,-70.2832,5,Oil,,,1018,04106,1588375101,Fri May  1 19:18:21 2020,05/01/20,0.43904736366137553,0.6091189932840814,0.33690332570306913,2.5423972905378247
43.6457,-70.2431,3,A oil smell that you would smell if you changed your oil in your car. ,Nausea ,,1018,04106,1588386002,Fri May  1 22:20:02 2020,05/01/20,2.2455066519561964,1.8018963689624605,2.217309374493451,0.3578807538824988
43.6319,-70.2711,3,Petroleum,,,1018,04106,1588410578,Sat May  2 05:09:38 2020,05/02/20,0.8494300210856539,0.1662740697522369,0.7630954135396031,2.0209415983516386
43.6297,-70.2716,5,Oil,Eye and throat irritation,The worst it's been in days,1018,04106,1588413281,Sat May  2 05:54:41 2020,05/02/20,0.9048575648771761,0.02079036887351771,0.8095580910587169,2.138431122563888
43.6217,-70.2694,2,tar,,,1018,04106,1588413329,Sat May  2 05:55:29 2020,05/02/20,1.3693930745145808,0.5477416235298529,1.2655539856046198,2.472192463937606
43.6248,-70.2672,3,Oil,,,1018,04106,1588414768,Sat May  2 06:19:28 2020,05/02/20,1.288692457945306,0.3842042853417743,1.1886346771271274,2.235038207809089
43.623,-70.2728,4,Oil,"Throat irritation, headache",,1018,04106,1588419217,Sat May  2 07:33:37 2020,05/02/20,1.1956653763425,0.45590024870304663,1.0912570502412409,2.5100466469731986
43.6266,-70.2768,4,"Oil, asphalt",,,1018,04106,1588420061,Sat May  2 07:47:41 2020,05/02/20,0.8772319761387881,0.34107836531489716,0.7727277342146337,2.475494968873389
43.6283,-70.2744,5,Oil,Something is happening today. The oil emission odor has been ongoing all morning and as bad as it has been in weeks. ,,1018,04106,1588420321,Sat May  2 07:52:01 2020,05/02/20,0.8606355064384789,0.17644353813351163,0.7587734655541607,2.3076268663369244
43.632,-70.2719,5,,,,1018,04106,1588422994,Sat May  2 08:36:34 2020,05/02/20,0.8104034329856665,0.1755944741103412,0.7233335174593472,2.0479990010836695
43.6355,-70.2872,3,Petroleum,,,1018,04106,1588423367,Sat May  2 08:42:47 2020,05/02/20,0.12487211302283971,0.8981201136201479,0.10013240915831723,2.588291656637558
43.6317,-70.2713,4,Gasoline,Headache,,1018,04106,1588427874,Sat May  2 09:57:54 2020,05/02/20,0.8465514929589264,0.15216911829788163,0.7590094291107827,2.037424912150848
43.6299,-70.2719,4,,,,1018,04106,1588434345,Sat May  2 11:45:45 2020,05/02/20,0.8846222079965494,0.04120803547803438,0.7894883880558274,2.140558668717744
43.6307,-70.2744,5,Gas,"Headache, burning noise feeling ",,1018,04106,1588442272,Sat May  2 13:57:52 2020,05/02/20,0.7507516364890787,0.17644080074932122,0.6542690116716465,2.20198806976238
43.6295,-70.2724,4,Oil,,,1018,04106,1588450050,Sat May  2 16:07:30 2020,05/02/20,0.8806762124181667,0.05557163580757133,0.783714046246691,2.17761409282349
43.6203,-70.2675,2,Tar smell,Nose irritated ,,1018,04106,1588474879,Sat May  2 23:01:19 2020,05/02/20,1.5044487014675927,0.6640310021072363,1.4007276234302397,2.4958785983068097
43.6306,-70.2424,1,,,,1018,04106,1588535559,Sun May  3 15:52:39 2020,05/03/20,2.249625740099777,1.4483504715401616,2.178552363647575,1.3653035325793461
43.6324,-70.2697,3,"Oil, asphalt",,,1018,04106,1588597512,Mon May  4 09:05:12 2020,05/04/20,0.8997711865305601,0.21580266226250353,0.8177464998590163,1.9447516025159914
43.629,-70.2708,3,"Industrial, asphalt",Nose irritation,,1018,04106,1588602992,Mon May  4 10:36:32 2020,05/04/20,0.9655919727616782,0.04240092867105938,0.8694602566252613,2.1415954225636913
43.6299,-70.2707,3,Gas,Mild headache,,1018,04106,1588609489,Mon May  4 12:24:49 2020,05/04/20,0.9345470331938238,0.04047163658288811,0.8410940004826772,2.0956593855695616
43.6313,-70.2843,3,Oil smell,Nasal irritation ,,1018,04106,1588610382,Mon May  4 12:39:42 2020,05/04/20,0.42208087129543737,0.6631220562589565,0.3240573115122624,2.5897410843141557
43.6254,-70.2759,4,Petroleum smell,,,1018,04106,1588623330,Mon May  4 16:15:30 2020,05/04/20,0.9713865452705562,0.3656395712472096,0.8668676028131649,2.4982044309323186
43.6197,-70.2687,3,Industrial Tar,Headache,,1018,04106,1588623728,Mon May  4 16:22:08 2020,05/04/20,1.5006962679207592,0.690133354810926,1.3964551751012073,2.56398618938622
43.6284,-70.2804,4,Industrial petroleum tank fumes ,Throat irritation ,,1018,04106,1588624632,Mon May  4 16:37:12 2020,05/04/20,0.6793731876811816,0.4623944729700199,0.5754943359701977,2.5374483038316034
43.6305,-70.2731,4,Oil,Throat irritation,,1018,04106,1588629491,Mon May  4 17:58:11 2020,05/04/20,0.8116057229559963,0.11399733262862469,0.7165633989516188,2.1597069081612674
43.6332,-70.2709,4,"Oil, asphalt",Nausea ,,1018,04106,1588631547,Mon May  4 18:32:27 2020,05/04/20,0.8240091013879257,0.2566630756916686,0.7447048123768388,1.9577313497476636
43.6297,-70.2724,3,Oil,,,1018,04106,1588679038,Tue May  5 07:43:58 2020,05/05/20,0.8723680802871145,0.057267455137416136,0.7759464550085079,2.168524023270356
43.6313,-70.2709,3,Gasoline,"Throat irritation, headache",,1018,04106,1588679746,Tue May  5 07:55:46 2020,05/05/20,0.877029814923064,0.12602301139347527,0.788354569251217,2.0395690545600114
43.6308,-70.2733,4,,,,1018,04106,1588681595,Tue May  5 08:26:35 2020,05/05/20,0.7916054547861753,0.13494921206571617,0.6972700059111985,2.1544585295111083
